drug_class,event_category,event_txt,complete_dose_not_given,administration_type,reason_for_no_barcode,barcode_type,route,events_n
intra_abdominal_antibiotics,not_given,Partial Administered,true,Standard Maintenance Medication,<NULL>,if,<NULL>,1
intra_abdominal_antibiotics,not_given,Administered,true,Standard Maintenance Medication,<NULL>,<NULL>,<NULL>,1
intra_abdominal_antibiotics,not_given,Administered,true,Standard Maintenance Medication,___,<NULL>,PO,1
intra_abdominal_antibiotics,not_given,Not Given,false,Standard Maintenance Medication,Scanner/Computer Malfunction,<NULL>,<NULL>,1
intra_abdominal_antibiotics,not_given,Not Given,false,Standard Maintenance Medication,Other,<NULL>,<NULL>,1
intra_abdominal_antibiotics,not_given,Not Given,false,Medication Infusion,<NULL>,if,<NULL>,1
intra_abdominal_antibiotics,not_given,Hold Dose,true,Standard Maintenance Medication,<NULL>,iv,<NULL>,1
prokinetic,not_given,Not Given,false,Standard Maintenance Medication,<NULL>,<NULL>,<NULL>,15207
prokinetic,not_given,Not Given,false,Standard Maintenance Medication,<NULL>,if,<NULL>,470
prokinetic,not_given,Administered,true,Standard Maintenance Medication,<NULL>,if,<NULL>,8
prokinetic,not_given,Not Given,false,Standard Maintenance Medication,Discarded Packaging,<NULL>,<NULL>,5
prokinetic,not_given,Not Given,false,Standard Maintenance Medication,Barcode Damaged,<NULL>,<NULL>,2
prokinetic,not_given,Not Given,false,Standard Maintenance Medication,Given in O.R. Holding,<NULL>,<NULL>,2
prokinetic,not_given,Not Given,true,Standard Maintenance Medication,<NULL>,if,<NULL>,2
prokinetic,not_given,Not Given,false,Standard Maintenance Medication,Stopped: No Orders associated with this barcode,<NULL>,<NULL>,1
prokinetic,not_given,Not Given,false,Standard Maintenance Medication,scanner broken,<NULL>,<NULL>,1
prokinetic,not_given,Administered,true,Standard Maintenance Medication,<NULL>,if,PO,1
prokinetic,not_given,Hold Dose,true,Standard Maintenance Medication,<NULL>,if,<NULL>,1
prokinetic,not_given,Not Given,false,Standard Maintenance Medication,Hardware issue: scanner,<NULL>,<NULL>,1
prokinetic,not_given,Not Given,false,Standard Maintenance Medication,___,<NULL>,<NULL>,1
prokinetic,not_given,Not Given,false,<NULL>,<NULL>,<NULL>,<NULL>,1
prokinetic,not_given,Not Given,false,Standard Maintenance Medication,Stopped: Barcode not found on any pharmacy products,<NULL>,<NULL>,1
stress_ulcer_prophylaxis,not_given,Not Given,false,Standard Maintenance Medication,<NULL>,<NULL>,<NULL>,47157
stress_ulcer_prophylaxis,not_given,Not Given,false,Standard Maintenance Medication,<NULL>,if,<NULL>,4677
stress_ulcer_prophylaxis,not_given,Not Given,false,Standard Maintenance Medication,<NULL>,iv,<NULL>,626
stress_ulcer_prophylaxis,not_given,Administered,true,Standard Maintenance Medication,<NULL>,if,<NULL>,60
stress_ulcer_prophylaxis,not_given,Not Given,false,Standard Maintenance Medication,Discarded Packaging,<NULL>,<NULL>,28
stress_ulcer_prophylaxis,not_given,Not Given,false,Standard Maintenance Medication,Hardware issue: scanner,<NULL>,<NULL>,27
stress_ulcer_prophylaxis,not_given,Not Given,false,Standard Maintenance Medication,Given in O.R. Holding,<NULL>,<NULL>,26
stress_ulcer_prophylaxis,not_given,Administered,true,Standard Maintenance Medication,<NULL>,iv,<NULL>,20
stress_ulcer_prophylaxis,not_given,Not Given,false,Standard Maintenance Medication,Barcode Damaged,<NULL>,<NULL>,10
stress_ulcer_prophylaxis,not_given,Partial Administered,true,Standard Maintenance Medication,<NULL>,if,<NULL>,10
stress_ulcer_prophylaxis,not_given,Administered,true,Standard Maintenance Medication,<NULL>,if,PO,8
stress_ulcer_prophylaxis,not_given,Partial Administered,true,Standard Maintenance Medication,<NULL>,iv,<NULL>,6
stress_ulcer_prophylaxis,not_given,Not Given,false,<NULL>,<NULL>,<NULL>,<NULL>,6
stress_ulcer_prophylaxis,not_given,Not Given,false,Standard Maintenance Medication,<NULL>,pmto,<NULL>,5
stress_ulcer_prophylaxis,not_given,Not Given,true,Standard Maintenance Medication,<NULL>,if,<NULL>,4
stress_ulcer_prophylaxis,not_given,Not Given,false,Standard Maintenance Medication,not given,<NULL>,<NULL>,3
stress_ulcer_prophylaxis,not_given,Not Given,false,Standard Maintenance Medication,Hardware issue: computer,<NULL>,<NULL>,2
stress_ulcer_prophylaxis,not_given,Not Given,false,<NULL>,<NULL>,iv,<NULL>,2
stress_ulcer_prophylaxis,not_given,Not Given,false,<NULL>,<NULL>,if,<NULL>,2
stress_ulcer_prophylaxis,not_given,Not Given,true,Standard Maintenance Medication,<NULL>,iv,<NULL>,2
stress_ulcer_prophylaxis,not_given,Not Given,true,Standard Maintenance Medication,Discarded Packaging,<NULL>,<NULL>,1
stress_ulcer_prophylaxis,not_given,Hold Dose,true,Standard Maintenance Medication,<NULL>,iv,<NULL>,1
stress_ulcer_prophylaxis,not_given,Partial Administered,true,Standard Maintenance Medication,Discarded Packaging,<NULL>,<NULL>,1
stress_ulcer_prophylaxis,not_given,Not Given,false,Standard Maintenance Medication,Stopped: Barcode not found on any pharmacy products,<NULL>,<NULL>,1
stress_ulcer_prophylaxis,not_given,Not Given,false,Standard Maintenance Medication,Stopped: No Orders associated with this barcode,<NULL>,<NULL>,1
stress_ulcer_prophylaxis,not_given,Not Given,false,Standard Maintenance Medication,not available,<NULL>,<NULL>,1
stress_ulcer_prophylaxis,not_given,Not Given,false,Standard Maintenance Medication,thrown out,<NULL>,<NULL>,1
vte_prophylaxis,not_given,Not Given,false,Standard Maintenance Medication,<NULL>,<NULL>,<NULL>,118284
vte_prophylaxis,not_given,Not Given,false,Standard Maintenance Medication,<NULL>,if,<NULL>,13614
vte_prophylaxis,not_given,Not Given,false,Heparin IV Bolus,<NULL>,<NULL>,<NULL>,1754
vte_prophylaxis,not_given,Not Given,false,Standard Maintenance Medication,Given in O.R. Holding,<NULL>,<NULL>,226
vte_prophylaxis,not_given,Not Given,false,Standard Maintenance Medication,Discarded Packaging,<NULL>,<NULL>,143
vte_prophylaxis,not_given,Not Given,false,Heparin IV Bolus,<NULL>,if,<NULL>,68
vte_prophylaxis,not_given,Not Given,false,Standard Maintenance Medication,Hardware issue: scanner,<NULL>,<NULL>,67
vte_prophylaxis,not_given,Not Given,false,Standard Maintenance Medication,Barcode Damaged,<NULL>,<NULL>,44
vte_prophylaxis,not_given,Not Given,false,Heparin IV Bolus,<NULL>,iv,<NULL>,37
vte_prophylaxis,not_given,Not Given,false,<NULL>,<NULL>,<NULL>,<NULL>,33
vte_prophylaxis,not_given,Not Given,true,Standard Maintenance Medication,<NULL>,if,<NULL>,28
vte_prophylaxis,not_given,Not Given,false,IV Bolus,<NULL>,<NULL>,<NULL>,18
vte_prophylaxis,not_given,Administered,true,Standard Maintenance Medication,<NULL>,if,<NULL>,14
vte_prophylaxis,not_given,Not Given,false,Standard Maintenance Medication,___,<NULL>,<NULL>,12
vte_prophylaxis,not_given,Not Given,false,Standard Maintenance Medication,<NULL>,bc,<NULL>,8
vte_prophylaxis,not_given,Not Given,false,Heparin IV Infusion,<NULL>,<NULL>,<NULL>,8
vte_prophylaxis,not_given,Not Given,false,Standard Maintenance Medication,Hardware issue: computer,<NULL>,<NULL>,4
vte_prophylaxis,not_given,Not Given,false,Heparin IV Bolus,Discarded Packaging,<NULL>,<NULL>,4
vte_prophylaxis,not_given,Administered,true,Heparin IV Bolus,<NULL>,if,<NULL>,4
vte_prophylaxis,not_given,Not Given,false,<NULL>,<NULL>,bc,<NULL>,3
vte_prophylaxis,not_given,Not Given,false,Standard Maintenance Medication,discarded,<NULL>,<NULL>,2
vte_prophylaxis,not_given,Not Given,false,Heparin IV Bolus,Stopped: Barcode not found on any pharmacy products,<NULL>,<NULL>,2
vte_prophylaxis,not_given,Not Given,false,Standard Maintenance Medication,Stopped: No Orders associated with this barcode,<NULL>,<NULL>,2
vte_prophylaxis,not_given,Not Given,false,Standard Maintenance Medication,Stopped: Barcode not found on any pharmacy products,<NULL>,<NULL>,1
vte_prophylaxis,not_given,Not Given,false,Standard Maintenance Medication,<NULL>,pmto,<NULL>,1
vte_prophylaxis,not_given,Not Given,false,Standard Maintenance Medication,scanner not working,<NULL>,<NULL>,1
vte_prophylaxis,not_given,Administered,true,Standard Maintenance Medication,___,<NULL>,<NULL>,1
vte_prophylaxis,not_given,Not Given,false,PACU-only order,<NULL>,<NULL>,<NULL>,1
vte_prophylaxis,not_given,Not Given,false,IV Infusion,<NULL>,<NULL>,<NULL>,1
vte_prophylaxis,not_given,Not Given,false,Standard Maintenance Medication,outside room,<NULL>,<NULL>,1
vte_prophylaxis,not_given,Not Given,false,IV Bolus,<NULL>,if,<NULL>,1
vte_prophylaxis,not_given,Administered,true,Standard Maintenance Medication,Discarded Packaging,<NULL>,<NULL>,1
vte_prophylaxis,not_given,Not Given,true,Standard Maintenance Medication,Unable to scan,<NULL>,<NULL>,1
vte_prophylaxis,not_given,Not Given,false,Standard Maintenance Medication,pt at nurses station,<NULL>,<NULL>,1
vte_prophylaxis,not_given,Administered,true,Sliding Scale,not scanning,<NULL>,<NULL>,1
vte_prophylaxis,not_given,Not Given,false,Heparin IV Bolus,___,<NULL>,<NULL>,1
vte_prophylaxis,not_given,Not Given,false,Standard Maintenance Medication,not scanning,<NULL>,<NULL>,1
vte_prophylaxis,not_given,Not Given,false,Heparin IV Bolus,Other,<NULL>,<NULL>,1
vte_prophylaxis,not_given,Not Given,false,Heparin IV Infusion,<NULL>,iv,<NULL>,1
vte_prophylaxis,not_given,Not Given,false,IV Bolus,<NULL>,iv,<NULL>,1
vte_prophylaxis,not_given,Not Given,false,<NULL>,<NULL>,if,<NULL>,1
vte_prophylaxis,not_given,Not Given,false,Standard Maintenance Medication,in MRI,<NULL>,<NULL>,1
vte_prophylaxis,not_given,Not Given,false,Heparin IV Bolus,Barcode Damaged,<NULL>,<NULL>,1
vte_prophylaxis,not_given,Not Given,false,Heparin IV Bolus,at nurses station,<NULL>,<NULL>,1
vte_prophylaxis,not_given,Not Given,false,Heparin IV Bolus,Hardware issue: computer,<NULL>,<NULL>,1
vte_prophylaxis,not_given,Not Given,false,Standard Maintenance Medication,not given,<NULL>,<NULL>,1
vte_prophylaxis,not_given,Not Given,false,Heparin IV Bolus,Hardware issue: scanner,<NULL>,<NULL>,1
vte_prophylaxis,not_given,Not Given,true,Standard Maintenance Medication,Discarded Packaging,<NULL>,<NULL>,1
vte_prophylaxis,not_given,Not Given,false,IV Infusion,<NULL>,iv,<NULL>,1
vte_prophylaxis,not_given,Delayed Administered,true,Standard Maintenance Medication,<NULL>,if,<NULL>,1
