linksto,itemid,label,abbreviation,category,unitname,param_type,fact_rows_n
chartevents,226524,Complications (A-Line),Complications (A-Line),Arterial Line Insertion,,Text,0
chartevents,226525,Indications (A-Line),Indications (A-Line),Arterial Line Insertion,,Text,0
chartevents,226526,Patient identified correctly (A-Line),Patient identified correctly (A-Line),Arterial Line Insertion,,Text,0
chartevents,226527,Timeout performed by (A-Line),Timeout performed by (A-Line),Arterial Line Insertion,,Text,0
chartevents,226528,Verification of (A-Line),Verification of (A-Line),Arterial Line Insertion,,Text,0
chartevents,226535,ZPotassium (whole blood),ZPotassium (whole blood),Labs,None,Numeric,0
chartevents,226545,Race,Race,ADT,,Text,0
chartevents,226740,APACHE II Diagnosistic weight factors - Medical,Diagnostic weight category - Medical,Scores - APACHE II,,Text,0
chartevents,226741,APACHE II Diagnosistic weight factors - Surgical emergency,Diagnosistic weight categories - Surgical emergenc,Scores - APACHE II,,Text,0
chartevents,226742,APACHE II Diagnosistic weight factors - Surgical,Diagnosistic weight categories - Surgical,Scores - APACHE II,,Text,0
chartevents,226746,ApacheII chronic health,ApacheII chronic health,Scores - APACHE II,,Text,0
chartevents,226747,APACHEII-Chronic health points,APACHEII-Chp,Scores - APACHE II,,Text,0
chartevents,226750,Chronic Dilaysis,Chronic Dilaysis,Scores - APACHE IV (2),,Checkbox,0
chartevents,226770,PO2ApacheIIValue,PO2ApacheIIValue,Scores - APACHE II,None,Numeric,0
chartevents,226849,RA (mean) pressure (PA Line),RA (mean) pressure (PA Line),PA Line Insertion,mmHg,Numeric,0
chartevents,226850,RV systolic pressure(PA Line),RV systolic pressure(PA Line),PA Line Insertion,mmHg,Numeric,0
chartevents,226851,RV diastolic pressure(PA Line),RV diastolic pressure(PA Line),PA Line Insertion,mmHg,Numeric,0
chartevents,226852,PA systolic pressure(PA Line),PA systolic pressure(PA Line),PA Line Insertion,mmHg,Numeric,0
chartevents,226853,PA diastolic pressure(PA Line),PA diastolic pressure(PA Line),PA Line Insertion,mmHg,Numeric,0
chartevents,226854,PCWP (v wave) (PA Line),PCWP (v wave) (PA Line),PA Line Insertion,mmHg,Numeric,0
chartevents,226855,PCWP (mean) (PA Line),PCWP (mean) (PA Line),PA Line Insertion,mmHg,Numeric,0
chartevents,226857,PA mean pressure (PA Line),PA mean pressure (PA Line),PA Line Insertion,mmHg,Numeric,0
chartevents,226858,CO pressure (PA Line),CO pressure (PA Line),PA Line Insertion,L/min,Numeric,0
chartevents,226859,CI pressure (PA Line),CI pressure (PA Line),PA Line Insertion,L/min/m2,Numeric,0
chartevents,226860,RA %O2 Saturation (PA Line),RA %O2 Saturation (PA Line),PA Line Insertion,%,Numeric,0
chartevents,226861,ART %O2 saturation (PA Line),ART %O2 saturation (PA Line),PA Line Insertion,%,Numeric,0
chartevents,226862,PA %O2 Saturation (PA Line),PA %O2 Saturation (PA Line),PA Line Insertion,%,Numeric,0
chartevents,226863,PVR %O2 Saturation (PA Line),PVR %O2 Saturation (PA Line),PA Line Insertion,dynes*sec/cm5,Numeric,0
chartevents,226865,SVR %O2 Saturation (PA Line),SVR %O2 Saturation (PA Line),PA Line Insertion,dynes*sec/cm5,Numeric,0
chartevents,226892,Re-admit < 48 hours,Re-admit < 48 hours,General,,Checkbox,0
chartevents,226893,Coefficient Hospital Mortality,Coefficient Hospital Mortality,Scores - APACHE IV (2),,Text,0
chartevents,226894,Coefficient ICU length of stay,Coefficient ICU length of stay,Scores - APACHE IV (2),,Text,0
chartevents,226979,Admission location,Admission location,Scores - APACHE IV (2),,Text,0
chartevents,226985,APACHE IV diagnosis choice 1,APACHE IV diagnosis choice 1,Scores - APACHE IV,,Text,0
chartevents,226986,APACHE IV diagnosis choice 2,APACHE IV diagnosis choice 2,Scores - APACHE IV,,Text,0
chartevents,226987,APACHE IV diagnosis,APACHE IV diagnosis,Scores - APACHE IV,,Text,0
chartevents,226988,APACHE IV main groups non-operative,APACHE IV main group non-operatives,Scores - APACHE IV,,Text,0
chartevents,226989,APACHE IV main groups operative,APACHE IV main group operative,Scores - APACHE IV,,Text,0
chartevents,227002,CABG Patient,CABG Patient,Scores - APACHE IV (2),,Checkbox,0
chartevents,227003,Chronic health on admission,Chronic health on admission,Scores - APACHE IV (2),,Text,0
chartevents,227007,Diabetes,Diabetes,Scores - APACHE IV (2),,Checkbox,0
chartevents,227008,Ejection Fraction,Ejection Fraction,Scores - APACHE IV (2),%,Numeric,0
chartevents,227009,FiO2_ApacheIV_old,FiO2_ApacheIV_old,Scores - APACHE IV (2),None,Numeric,0
chartevents,227011,GCSEye_ApacheIV,GCSEye_ApacheIV,Scores - APACHE IV (2),,Text,0
chartevents,227012,GCSMotor_ApacheIV,GCSMotor_ApacheIV,Scores - APACHE IV (2),,Text,0
chartevents,227014,GCSVerbal_ApacheIV,GCSVerbal_ApacheIV,Scores - APACHE IV (2),,Text,0
chartevents,227022,LOS pre-ICU admission,LOS pre-ICU admission,Scores - APACHE IV (2),None,Numeric,0
chartevents,227025,Non-Operative Cardiovascular (CARDIOVASC),Cardiovascular Non-Operative,Scores - APACHE IV,,Text,0
chartevents,227026,Non-Operative Gastrointestinal (GI),Gastrointestinal Non-Operative,Scores - APACHE IV,,Text,0
chartevents,227027,Non-Operative Genitourinary (GENITOURIN),Genitourinary Non-Operative,Scores - APACHE IV,,Text,0
chartevents,227028,Non-Operative Hematology (HEMATO),Hematology Non-Operative,Scores - APACHE IV,,Text,0
chartevents,227029,Non-Operative Metabolic/Endocrine (METAB/ENDO),Metabolic/Endocrine Non-Operative,Scores - APACHE IV,,Text,0
chartevents,227030,Non-Operative Musculoskeletal/Skin (MUSKELSKIN),Musculoskeletal/Skin Non-Operative,Scores - APACHE IV,,Text,0
chartevents,227031,Non-Operative Neurologic (NEUROLOGIC),Neurologic Non-Operative,Scores - APACHE IV,,Text,0
chartevents,227032,Non-Operative Respiratory (RESPIRAT),Respiratory Non-Operative,Scores - APACHE IV,,Text,0
chartevents,227033,Non-Operative Transplant (TRANSPLANT),Transplant Non-Operative,Scores - APACHE IV,,Text,0
chartevents,227034,Non-Operative Trauma (TRAUMA),Trauma Non-Operative,Scores - APACHE IV,,Text,0
chartevents,227040,Post-Operative Cardiovascular (CARDIOVASC),Cardiovascular Post-Operative,Scores - APACHE IV,,Text,0
chartevents,227041,Post-Operative Gastrointestinal (GI),Gastrointestinal Post-Operative,Scores - APACHE IV,,Text,0
chartevents,227042,Post-Operative Genitourinary (GENITOURIN),Genitourinary Post-Operative,Scores - APACHE IV,,Text,0
chartevents,227043,Post-Operative Hematology (HEMATO),Hematology Post-Operative,Scores - APACHE IV,,Text,0
chartevents,227044,Post-Operative Metabolic/Endocrine (METAB/ENDO),Metabolic/Endocrine Post-Operative,Scores - APACHE IV,,Text,0
chartevents,227045,Post-Operative Musculoskeletal/Skin (MUSKELSKIN),Musculoskeletal/Skin Post-Operative,Scores - APACHE IV,,Text,0
chartevents,227046,Post-Operative Neurologic (NEUROLOGIC),Neurologic Post-Operative,Scores - APACHE IV,,Text,0
chartevents,227047,Post-Operative Respiratory (RESPIRAT),Respiratory Post-Operative,Scores - APACHE IV,,Text,0
chartevents,227048,Post-Operative Transplant (TRANSPLANT),Transplant Post-Operative,Scores - APACHE IV,,Text,0
chartevents,227049,Post-Operative Trauma (TRAUMA),Trauma Post-Operative,Scores - APACHE IV,,Text,0
chartevents,227056,Thrombolytic therapy,Thrombolytic therapy,Scores - APACHE IV,,Checkbox,0
chartevents,227057,Type of admission,Type of admission,Scores - APACHE IV,,Text,0
chartevents,227061,Ventilated at any time during ICU Day 1,Ventilated at any time during ICU Day 1,Scores - APACHE IV,,Checkbox,0
chartevents,227088,Admit from,Admit from,General,,Text,0
chartevents,227089,Discharge to,Discharge to,General,,Text,0
chartevents,227100,Catheter insertion length (PICC),Catheter insertion length (PICC),PICC Line Insertion,cm,Numeric,0
chartevents,227105,Catheter insertion length (CVL),Catheter insertion length (CVL),CVL Insertion,cm,Numeric,0
chartevents,227210,Propofol (Intubation),Propofol (Intubation),Intubation,mg,Numeric,0
chartevents,227211,Ketamine (Intubation),Ketamine (Intubation),Intubation,mg,Numeric,0
chartevents,227212,Etomidate (Intubation),Etomidate (Intubation),Intubation,mg,Numeric,0
chartevents,227213,Vecuronium (Intubation),Vecuronium (Intubation),Intubation,mg,Numeric,0
chartevents,227214,Cis-atracurium (Intubation),Cis-atracurium (Intubation),Intubation,mg,Numeric,0
chartevents,227215,Succynlocholine (Intubation),Succynlocholine (Intubation),Intubation,mg,Numeric,0
chartevents,227438,Volume not removed,Volume not removed,Dialysis,mL,Numeric,0
chartevents,227485,Print Job,Print Job,General,,Text,0
chartevents,227486,Printer,Printer,General,,Text,0
chartevents,227521,KCL Bolus),KCL (Bolus),Medications,mL,Numeric,0
chartevents,227527,ADA-A (500ml),ADA-A (500ml),Medications,mL,Numeric,0
chartevents,227685,ZCentral Venous O2% Sat,ZCentral Venous O2% Sat,Labs,None,Numeric,0
chartevents,227778,Skeletal Traction #4 - Pounds,Skeletal Traction #4 - Pounds,Treatments,lbs,Numeric,0
chartevents,227849,Toilet,Toilet,OT Notes,,Text,0
chartevents,227851,Shower / Tub,Shower / Tub,OT Notes,,Text,0
chartevents,228019,Insertion kit used (A-Line),Insertion kit used (A-Line),Arterial Line Insertion,,Text,0
chartevents,228020,Hand cleansing prior to procedure (A-Line),Hand cleansing prior to procedure (A-Line),Arterial Line Insertion,,Text,0
chartevents,228021,Site cleaned with ChloraPrep(TM) (A-Line),Site cleaned with ChloraPrep(TM) (A-Line),Arterial Line Insertion,,Text,0
chartevents,228022,Replaced previous Arterial line over wire,Replaced previous Arterial line over wire,Arterial Line Insertion,,Text,0
chartevents,228023,Arterial line sutured,Arterial line sutured,Arterial Line Insertion,,Text,0
chartevents,228024,Sterile field maintained throughout procedure (A-Line),Sterile field maintained (A-Line),Arterial Line Insertion,,Text,0
chartevents,228025,Transparent dressing applied and dated (A-Line)_New,Transparent dressing applied and dated (A-Line)New,Arterial Line Insertion,,Text,0
chartevents,228026,Arterial Line ordered on POE,Arterial Line ordered on POE,Arterial Line Insertion,,Text,0
chartevents,228027,The Attending /Supervisor is the Clinician Operator (Aline),The Attending/Supervisor (A-Line),Arterial Line Insertion,,Checkbox,0
chartevents,228028,I was present during the above procedure and agree with the chacklist (A-Line),I was present during the procedure (A-Line),Arterial Line Insertion,,Checkbox,0
chartevents,228030,Is alternative vascular access present (CVL),Is alternative vascular access present (CVL),CVL Insertion,,Text,0
chartevents,228031,Insertion kit used (CVL),Insertion kit used (CVL),CVL Insertion,,Text,0
chartevents,228032,Hand cleansing prior to procedure (CVL),Hand cleansing prior to procedure (CVL),CVL Insertion,,Text,0
chartevents,228033,Site cleaned with ChloraPrep(TM) (CVL),Site cleaned with ChloraPrep(TM) (CVL),CVL Insertion,,Text,0
chartevents,228034,Sterile field maintained throughout procedure (CVL),Sterile field throughout procedure (CVL),CVL Insertion,,Text,0
chartevents,228035,Transparent dressing applied and dated (CVL),Transparent dressing applied and dated (CVL),CVL Insertion,,Text,0
chartevents,228036,Central Line ordered on POE,Central Line ordered on POE,CVL Insertion,,Text,0
chartevents,228037,Follow-up chest X-RAY ordered (CVL),Follow-up chest X-RAY ordered (CVL),CVL Insertion,,Text,0
chartevents,228038,Immediate complications (CVL),Immediate complications (CVL),CVL Insertion,,Text,0
chartevents,228039,The Attending/Supervisor is the Clinician Operator (CVL),The Attending/Supervisor is the Operator (CVL),CVL Insertion,,Checkbox,0
chartevents,228040,I was present during the above procedure and agree with the checklist (CVL),I was present during the above procedure (CVL),CVL Insertion,,Checkbox,0
chartevents,228041,Insertion kit used (PICC Line),Insertion kit used (PICC Line),PICC Line Insertion,,Text,0
chartevents,228042,Hand Cleansing Prior to Procedure (PICC),Hand Cleansing Prior to Procedure (PICC),PICC Line Insertion,,Text,0
chartevents,228043,Site cleaned with ChloraPrep(TM) (PICC),Site cleaned with ChloraPrep(TM) (PICC),PICC Line Insertion,,Text,0
chartevents,228044,Sterile field maintained throughout procedure (PICC),Sterile field throughout procedure (PICC),PICC Line Insertion,,Text,0
chartevents,228045,Transparent dressing applied and dated (PICC),Transparent dressing applied and dated (PICC),PICC Line Insertion,,Text,0
chartevents,228046,PICC Ordered on POE,PICC Ordered on POE,PICC Line Insertion,,Text,0
chartevents,228047,Follow-up X-RAY Ordered (PICC),Follow-up X-RAY Ordered (PICC),PICC Line Insertion,,Text,0
chartevents,228048,Immediate complications (PICC),Immediate complications (PICC),PICC Line Insertion,,Text,0
chartevents,228049,Attending/Supervisor is the Clinical Operator (PICC)_New,Attending/Supervisor is Clinical Operator (PICC)_N,PICC Line Insertion,,Checkbox,0
chartevents,228050,I was present during the above procedure and agree with the checklist (PICC),I was present during the procedure (PICC),PICC Line Insertion,,Checkbox,0
chartevents,228051,Hand cleansing prior to procedure (Bronch),Hand cleansing prior to procedure (Bronch),Bronchoscopy,,Text,0
chartevents,228052,Topical Lidocaine used (Bronch),Topical Lidocaine used (Bronch),Bronchoscopy,,Text,0
chartevents,228053,Topical Cetacaine used (Bronch),Topical Cetacaine used (Bronch),Bronchoscopy,,Text,0
chartevents,228055,Bronchoalveolar lavage (BAL) / washing (Bronch,Bronchoalveolar lavage (BAL) / wash (Bronch),Bronchoscopy,,Text,0
chartevents,228056,Endobronchial ultrasound (EBUS) (Bronch),Endobronchial ultrasound (EBUS) (Bronch),Bronchoscopy,,Text,0
chartevents,228057,Brushings (Bronch),Brushings (Bronch),Bronchoscopy,,Text,0
chartevents,228058,Transbronchial biopsy (Bronch),Transbronchial biopsy (Bronch),Bronchoscopy,,Text,0
chartevents,228059,Transbronchial needle aspirate (Bronch),Transbronchial needle aspirate (Bronch),Bronchoscopy,,Text,0
chartevents,228060,Conscious sedation used (Bronch),Conscious sedation used (Bronch),Bronchoscopy,,Text,0
chartevents,228061,Photodynamic therapy PDT (Bronch),Photodynamic therapy PDT (Bronch),Bronchoscopy,,Text,0
chartevents,228062,Autofluorescence AF (Bronch),Autofluorescence AF (Bronch),Bronchoscopy,,Text,0
chartevents,228063,The Attending/Supervisor is the Clinician Operator (Bronch),The Attending/Supervisor (Bronch),Bronchoscopy,,Checkbox,0
chartevents,228064,I was present during the above procedure and agree with the checklist (Bronch),I was present during the above procedure (Bronch),Bronchoscopy,,Checkbox,0
chartevents,228065,Hand Cleansing prior to procedure (Intubation),Hand Cleansing prior to procedure (Intubation),Intubation,,Text,0
chartevents,228066,Unable to complete Airway Assessment (Intubation),Unable to complete  Assessment (Intubation),Intubation,,Text,0
chartevents,228067,Stylette (Intubation),Stylette (Intubation),Intubation,,Text,0
chartevents,228068,Bougie (Intubation),Bougie (Intubation),Intubation,,Text,0
chartevents,228069,Tube Secured (Intubation),Tube Secured (Intubation),Intubation,,Text,0
chartevents,228070,The Attending/Supervisor is the Clinical Operator (Intubation),The Attending/Supervisor (Intubation),Intubation,,Checkbox,0
chartevents,228071,I was present during the above procedure and agree with the checklist (Intubation),I was present during the procedure (Intubation),Intubation,,Checkbox,0
chartevents,228072,Hand cleansing prior to procedure (LP),Hand cleansing prior to procedure (LP),Lumbar Puncture,,Text,0
chartevents,228073,Site cleansed with Providone Iodine (LP),Site cleansed with Providone Iodine (LP),Lumbar Puncture,,Text,0
chartevents,228074,Number of attempts to perform (LP),Number of attempts to perform (LP),Lumbar Puncture,,Text,0
chartevents,228075,Number of operators (LP),Number of operators (LP),Lumbar Puncture,,Text,0
chartevents,228077,Dressing applied and dated (LP),Dressing applied and dated (LP),Lumbar Puncture,,Text,0
chartevents,228078,The Attending/Supervisor is the Clinician Operator (LP),The Attending/Supervisor (LP),Lumbar Puncture,,Checkbox,0
chartevents,228079,I was present during the above procedure and agree with the checklist (LP),I was present during the above procedure (LP),Lumbar Puncture,,Checkbox,0
chartevents,228080,Insertion kit used (PACEN),Insertion kit used (PACEN),Paracentesis,,Text,0
chartevents,228081,Hand cleansing prior to procedure (PACEN),Hand cleansing prior to procedure (PACEN),Paracentesis,,Text,0
chartevents,228082,Site cleaned with ChloraPrep (PACEN),Site cleaned with ChloraPrep (PACEN),Paracentesis,,Text,0
chartevents,228084,Dressing applied and dated (PACEN),Dressing applied and dated (PACEN),Paracentesis,,Text,0
chartevents,228085,The Attending/Supervisor is the Clinical Operator (PACEN),The Attending/Supervisor (PACEN),Paracentesis,,Checkbox,0
chartevents,228086,I was present during the above procedure and agree with the checklist (PACEN),I was present during the above procedure (PACEN),Paracentesis,,Checkbox,0
chartevents,228087,Insertion kit used (THCEN),Insertion kit used (THCEN),Thoracentesis,,Text,0
chartevents,228088,Hand cleansing prior to procedure (THCEN),Hand cleansing prior to procedure (THCEN),Thoracentesis,,Text,0
chartevents,228089,Site cleansed with ChloraPrep (THCEN),Site cleansed with ChloraPrep (THCEN),Thoracentesis,,Text,0
chartevents,228090,Number of attempts (THCEN),Number of attempts (THCEN),Thoracentesis,None,Numeric,0
chartevents,228091,Number of operators (THCEN),Number of operators (THCEN),Thoracentesis,,Text,0
chartevents,228092,Dressing applied and dated (THCEN),Dressing applied and dated (THCEN),Thoracentesis,,Text,0
chartevents,228093,Follow-up X-RAY Ordered (THCEN),Follow-up X-RAY Ordered (THCEN),Thoracentesis,,Text,0
chartevents,228094,The Attending/Supervisor is the Clinician Operator (THCEN),The Attending/Supervisor (THCEN),Thoracentesis,,Checkbox,0
chartevents,228095,I was present during the above procedure and agree with the checklist (THCEN),I was present during the above procedure (THCEN),Thoracentesis,,Checkbox,0
chartevents,228106,NonOperative Diagnoses,NonOperative Diagnoses,ApacheII Parameters,,Text,0
chartevents,228107,Elective Postoperative Diagnoses,Elective Postoperative Diagnoses,ApacheII Parameters,,Text,0
chartevents,228108,Emergency Postoperative Diagnoses,Emergency Postoperative Diagnoses,ApacheII Parameters,,Text,0
chartevents,228109,APACHE IV diagnoses,APACHE IV diagnoses,ApacheIV Parameters,,Text,0
chartevents,228110,APACHE IV diagnoses-2,APACHE IV diagnoses-2,ApacheIV Parameters,,Text,0
chartevents,228111,Readmission,Readmission,Scores - APACHE IV (2),,Checkbox,0
chartevents,228112,GCSVerbalApacheIIValue (intubated),GCSVerbalApacheIIValue (intubated),Scores - APACHE II,,Text,0
chartevents,228113,Insertion kit used (PA line),Insertion kit used (PA line),PA Line Insertion,,Text,0
chartevents,228114,Hand cleansing prior to procedure (PA Line),Hand cleansing prior to procedure (PA Line),PA Line Insertion,,Text,0
chartevents,228115,Site cleansed with ChloraPrep(TM) (PA line),Site cleansed with ChloraPrep(TM) (PA line),PA Line Insertion,,Text,0
chartevents,228116,Sterile field maintained throughout procedure (PA line),Sterile field throughout procedure (PALine),PA Line Insertion,,Text,0
chartevents,228117,Thermodilution (PA line),Thermodilution (PA line),PA Line Insertion,,Text,0
chartevents,228118,Fick (PA line),Fick (PA line),PA Line Insertion,,Text,0
chartevents,228120,Transparent dressing applied and dated (PA line),Transparent dressing  (PA line),PA Line Insertion,,Text,0
chartevents,228121,PA line ordered on POE,PA line ordered on POE,PA Line Insertion,,Text,0
chartevents,228122,Follow-up X-RAYordered (PA Line),Follow-up X-RAYordered (PA Line),PA Line Insertion,,Text,0
chartevents,228123,The Attending/Supervisor is the Clinical Operator (PA Line),The Attending/Supervisor (PA Line),PA Line Insertion,,Checkbox,0
chartevents,228124,I was present during the above procedure and agree with the checklist (PA Line),I was present for procedure (PA Line),PA Line Insertion,,Checkbox,0
chartevents,228148,ABI Ankle BP R (Impella),ABI Ankle BP R (Impella),Impella,mmHg,Numeric,0
chartevents,228149,ABI Brachial BP L (Impella),ABI Brachial BP L (Impella),Impella,mmHg,Numeric,0
chartevents,228183,SVRI (PiCCO)_OLD_1,SVRI (PiCCO)_OLD_1,PiCCO,dynes.sec.cm-5/m2,Numeric,0
chartevents,228239,Phenytoin (Free) (SOFT),Phenytoin (Free) (SOFT),Labs,None,Numeric,0
chartevents,228240,D-Dimer (SOFT),D-Dimer (SOFT),Labs,None,Numeric with tag,0
chartevents,228241,Ammonia (Soft)_OLD_1,Ammonia (Soft)_OLD_1,Labs,None,Numeric,0
chartevents,228242,Pt. Temperature (BG) (SOFT),Pt. Temperature (BG) (SOFT),Labs,None,Numeric,0
chartevents,228243,PH (SOFT),PH (SOFT),Labs,None,Numeric,0
chartevents,228260,FM Pt Preferences,FM Pt Preferences,Family Mtg Note,,Checkbox,0
chartevents,228261,FM CM Consult,FM CM Consult,Family Mtg Note,,Checkbox,0
chartevents,228263,FM Concerns elicited,FM Concerns elicited,Family Mtg Note,,Checkbox,0
chartevents,228264,FM Condition Rev,FM Condition Rev,Family Mtg Note,,Checkbox,0
chartevents,228265,FM Prehuddle,FM Prehuddle,Family Mtg Note,,Checkbox,0
chartevents,228267,FM Discord noted,FM Discord noted,Family Mtg Note,,Checkbox,0
chartevents,228268,FM Dx reviewed,FM Dx reviewed,Family Mtg Note,,Checkbox,0
chartevents,228270,FM ICU-Hosp duration,FM ICU-Hosp duration,Family Mtg Note,,Checkbox,0
chartevents,228271,FM Intepreter present,FM Intepreter present,Family Mtg Note,,Checkbox,0
chartevents,228272,FM Location,FM Location,Family Mtg Note,,Text,0
chartevents,228273,FM Measures,FM Measures,Family Mtg Note,,Checkbox,0
chartevents,228276,FM Prognosis reviewed,FM Prognosis reviewed,Family Mtg Note,,Checkbox,0
chartevents,228277,FM Pt present,FM Pt present,Family Mtg Note,,Checkbox,0
chartevents,228279,FM Spirit/cultural,FM Spirit/cultural,Family Mtg Note,,Checkbox,0
chartevents,228282,FM SW consult,FM SW consult,Family Mtg Note,,Checkbox,0
chartevents,228283,FM Sx controlled,FM Sx controlled,Family Mtg Note,,Checkbox,0
chartevents,228284,FM Time spent,FM Time spent,Family Mtg Note,min,Numeric,0
chartevents,228285,FM Tx/goals,FM Tx/goals,Family Mtg Note,,Checkbox,0
chartevents,228319,PC Assessment of spiritual issues,PC Assessment of spiritual issues,Pastoral Care Note,,Text,0
chartevents,228322,PC Interpreter present,PC Interpreter present,Pastoral Care Note,,Checkbox,0
chartevents,228323,PC Ministries offered,PC Ministries offered / requested,Pastoral Care Note,,Text,0
chartevents,228324,PC Spiritual interventions,PC Spiritual interventions,Pastoral Care Note,,Text,0
chartevents,228327,PC Reason for visit,PC Reason for visit,Pastoral Care Note,,Text,0
chartevents,228328,PC Source of assessment data,PC Source of assessment data,Pastoral Care Note,,Text,0
chartevents,228371,DO2I (NICOM),DO2I (NICOM),NICOM,mL/min/m2,Numeric,0
chartevents,228384,Number of days (CVL),Number of days (CVL),CVL Insertion,None,Numeric,0
chartevents,228385,Chloride (serum) (soft),Chloride (serum) (soft),Labs,None,Numeric with tag,0
chartevents,228386,Chloride (whole blood) (soft),Chloride (whole blood) (soft),Labs,None,Numeric with tag,0
chartevents,228388,Glucose (whole blood) (soft),Glucose (whole blood) (soft),Labs,None,Numeric with tag,0
chartevents,228389,Sodium (serum) (soft),Sodium (serum) (soft),Labs,None,Numeric with tag,0
chartevents,228390,Sodium (whole blood) (soft),Sodium (whole blood) (soft),Labs,None,Numeric with tag,0
chartevents,228391,Ammonia (SOFT),Ammonia (SOFT),Labs,None,Numeric with tag,0
chartevents,228425,Complications (MBAL),Complications (MBAL),Bronchoscopy,,Text,0
chartevents,228426,Complications - bleeding (MBAL),Complications - bleeding (MBAL),Bronchoscopy,,Text,0
chartevents,228427,Contraindications (MBAL),Contraindications (MBAL),Bronchoscopy,,Text,0
chartevents,228429,Critical Proc Steps (MBAL),Critical Proc Steps (MBAL),Bronchoscopy,,Text,0
chartevents,228430,Indications (MBAL),Indications (MBAL),Bronchoscopy,,Text,0
chartevents,228434,Route (MBAL),Route (MBAL),Bronchoscopy,,Text,0
chartevents,228435,Volume instilled (MBAL),Volume instilled (MBAL),Bronchoscopy,mL,Numeric,0
chartevents,228436,Volume obtained (MBAL),Volume obtained (MBAL),Bronchoscopy,mL,Numeric,0
chartevents,228437,Hand cleansing prior to procedure (MBAL),Hand cleansing prior to procedure (MBAL),Bronchoscopy,,Text,0
chartevents,228438,Timeout performed by (MBAL),Timeout performed by (MBAL),Bronchoscopy,,Text,0
chartevents,228439,Patient identified correctly (MBAL),Patient identified correctly (MBAL),Bronchoscopy,,Text,0
chartevents,228440,Verification of (MBAL),Verification of (MBAL),Bronchoscopy,,Text,0
chartevents,228441,Barrier precautions in place (MBAL),Barrier precautions in place (MBAL),Bronchoscopy,,Text,0
chartevents,228456,Location (Gen Proc),Location (Gen Proc),Generic Proc Note,,Text,0
chartevents,228460,Indication (Gen Proc),Indication (Gen Proc),Generic Proc Note,,Text,0
chartevents,228462,Patient (Gen Proc),Patient (Gen Proc),Generic Proc Note,,Text,0
chartevents,228463,Acuity (Gen Proc),Acuity (Gen Proc),Generic Proc Note,,Text,0
chartevents,228465,Timeout Performed By (Gen Proc),Timeout Performed By (Gen Proc),Generic Proc Note,,Text,0
chartevents,228466,Patient Identified Correctly (Gen Proc),Patient Identified Correctly (Gen Proc),Generic Proc Note,,Text,0
chartevents,228467,Verification (Gen Proc),Verification (Gen Proc),Generic Proc Note,,Text,0
chartevents,228468,Hand Cleansing (Gen Proc),Hand Cleansing (Gen Proc),Generic Proc Note,,Text,0
chartevents,228469,Site Cleansed With ChloraPrep (Gen Proc),Site Cleansed With ChloraPrep (Gen Proc),Generic Proc Note,,Text,0
chartevents,228471,Barrier Precautions (Gen Proc),Barrier Precautions (Gen Proc),Generic Proc Note,,Text,0
chartevents,228473,Conscious Sedation (Gen Proc),Conscious Sedation (Gen Proc),Generic Proc Note,,Text,0
chartevents,228474,Patient Position (Gen Proc),Patient Position (Gen Proc),Generic Proc Note,,Text,0
chartevents,228475,Side (Gen Proc),Side (Gen Proc),Generic Proc Note,,Text,0
chartevents,228476,With Ultrasound (Gen Proc),With Ultrasound (Gen Proc),Generic Proc Note,,Text,0
chartevents,228478,Number of Attempts (Gen Proc),Number of Attempts (Gen Proc),Generic Proc Note,None,Numeric,0
chartevents,228479,Number of Operators (Gen Proc),Number of Operators (Gen Proc),Generic Proc Note,None,Numeric,0
chartevents,228482,Dressing Applied (Gen Proc),Dressing Applied (Gen Proc),Generic Proc Note,,Text,0
chartevents,228483,Follow Up Xray (Gen Proc),Follow Up Xray (Gen Proc),Generic Proc Note,,Text,0
chartevents,228485,Complications (Gen Proc),Complications (Gen Proc),Generic Proc Note,,Text,0
chartevents,228491,Clinical Operator (Gen Proc),Clinical Operator (Gen Proc),Generic Proc Note,,Checkbox,0
chartevents,228492,Present and Agree (Gen Proc),Present and Agree (Gen Proc),Generic Proc Note,,Checkbox,0
chartevents,228495,Skin Location,Skin Location,Skin - Incisions,,Text,0
chartevents,228517,Skin Cleanse,Skin Cleanse,Skin - Incisions,,Text,0
chartevents,228528,Skin Treatment,Skin Treatment,Skin - Incisions,,Text,0
chartevents,228586,Dressing Status,Dressing Status,Skin - Impairment,,Text,0
chartevents,228612,Pressure Ulcer #3- Depth,Pressure Ulcer #3- Depth,Skin - Impairment,cm,Numeric,0
chartevents,228642,Barrier precautions in place (Bronch),Barrier precautions in place (Bronch),Bronchoscopy,,Text,0
chartevents,228643,Barrier precautions in place (Intubation),Barrier precautions in place (Intubation),Intubation,,Text,0
chartevents,228644,Barrier precautions in place (LP),Barrier precautions in place (LP),Lumbar Puncture,,Text,0
chartevents,228645,Barrier precautions in place (PACEN),Barrier precautions in place (PACEN),Paracentesis,,Text,0
chartevents,228646,Barrier precautions in place (THCEN),Barrier precautions in place (THCEN),Thoracentesis,,Text,0
chartevents,228647,Barrier precautions in place (A-Line),Barrier precautions in place (A-Line),Arterial Line Insertion,,Text,0
chartevents,228684,Abdominal - (GI / Hepatic)_OLD_1,Abdominal - (GI / Hepatic)_OLD_1,MD Progress Note,,Text,0
chartevents,228685,Admission type,Admission type,MD Progress Note,,Text,0
