normalized_ndc,expected_ingredients,expected_classes,prescription_rows_n
00186074382,omeprazole,stress_ulcer_prophylaxis,5.0
00781320795,ceftriaxone,intra_abdominal_antibiotics,5.0
00074744501,cimetidine,stress_ulcer_prophylaxis,4.0
00173038237,ceftazidime,intra_abdominal_antibiotics,4.0
24385080701,magnesium sulfate,electrolyte_replacement,4.0
60505075905,cefoxitin,intra_abdominal_antibiotics,4.0
63323036061,calcium gluconate,electrolyte_replacement,4.0
00009090218,phosphorus,electrolyte_replacement,3.0
00025274234,phosphorus,electrolyte_replacement,3.0
00169320111,insulin regular human,insulin,3.0
00409420101,potassium phosphate,electrolyte_replacement,3.0
10019063101,ampicillin,intra_abdominal_antibiotics,3.0
59762372802,phosphorus,electrolyte_replacement,3.0
68180015001,famotidine,stress_ulcer_prophylaxis,3.0
00008536002,tigecycline,intra_abdominal_antibiotics,2.0
00015050641,phosphorus,electrolyte_replacement,2.0
00015340420,phosphorus,electrolyte_replacement,2.0
00074744716,cimetidine,stress_ulcer_prophylaxis,2.0
00168020130,phosphorus,electrolyte_replacement,2.0
00409115170,heparin,vte_prophylaxis,2.0
00472098792,phosphorus,electrolyte_replacement,2.0
00517345025,sodium phosphate,electrolyte_replacement,2.0
25021011506,phosphorus,electrolyte_replacement,2.0
43598050930,omeprazole,stress_ulcer_prophylaxis,2.0
45802056202,phosphorus,electrolyte_replacement,2.0
47781046168,phosphorus,electrolyte_replacement,2.0
49884046565,insulin aspart,insulin,2.0
54868476800,phosphorus,electrolyte_replacement,2.0
54868479700,nizatidine,stress_ulcer_prophylaxis,2.0
55150023805,phosphorus,electrolyte_replacement,2.0
63323008650,potassium phosphate,electrolyte_replacement,2.0
64679098601,cefotaxime,intra_abdominal_antibiotics,2.0
65219005629,potassium phosphate,electrolyte_replacement,2.0
00006335645,cefoxitin,intra_abdominal_antibiotics,1.0
00132000119,sodium phosphate,electrolyte_replacement,1.0
00168020160,phosphorus,electrolyte_replacement,1.0
00173044100,ranitidine,stress_ulcer_prophylaxis,1.0
00264314311,ceftazidime,intra_abdominal_antibiotics,1.0
00517235025,potassium phosphate,electrolyte_replacement,1.0
00603154258,potassium chloride,electrolyte_replacement,1.0
00781340995,ampicillin,intra_abdominal_antibiotics,1.0
08290036005,heparin,vte_prophylaxis,1.0
08290306513,heparin,vte_prophylaxis,1.0
08290326730,insulin regular human,insulin,1.0
10019063002,ampicillin,intra_abdominal_antibiotics,1.0
24987036210,ranitidine,stress_ulcer_prophylaxis,1.0
36000001101,ciprofloxacin,intra_abdominal_antibiotics,1.0
37000002304,insulin aspart,insulin,1.0
45963046003,lansoprazole,stress_ulcer_prophylaxis,1.0
51801001230,potassium chloride,electrolyte_replacement,1.0
60505075100,ceftriaxone,intra_abdominal_antibiotics,1.0
60977045102,metoclopramide,prokinetic,1.0
